ID,BLOCK,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
211239262,211239262,1,2,2,1,2,3,1,3,1,1,3,2
211239266,211239266,3,3,2,2,1,1,1,1,1,2,1,1
211239267,211239267,3,2,1,2,2,1,2,2,2,3,2,2
211239268,211239268,2,2,2,2,1,1,3,1,2,2,3,1
211239270,211239270,1,2,1,2,1,3,3,2,3,3,2,3
211239274,211239274,2,3,1,3,2,2,3,3,1,3,1,1
211239275,211239275,1,3,2,2,2,2,2,1,1,1,3,1
211239278,211239278,3,2,2,2,3,2,2,2,2,3,3,3
211239279,211239279,1,1,1,3,2,1,1,3,1,3,1,2
211239281,211239281,2,1,2,2,3,3,3,2,3,1,3,2
211239282,211239282,2,2,2,2,3,2,2,3,2,3,3,2
211239283,211239283,1,3,3,2,2,2,3,3,3,1,3,3
211239289,211239289,2,2,3,3,1,3,2,2,1,2,2,2
211239292,211239292,3,2,1,3,3,2,1,3,2,1,2,2
211239293,211239293,2,2,3,2,2,1,1,1,2,3,3,1
211239294,211239294,2,2,1,1,1,1,1,1,2,1,1,3
211239295,211239295,2,2,1,1,2,1,3,2,1,3,2,1
211239301,211239301,3,3,3,3,3,3,3,3,3,3,3,3
211239307,211239307,1,1,1,3,1,2,3,1,1,1,1,2
211239310,211239310,3,3,2,1,2,3,2,1,2,2,3,3
211239311,211239311,3,2,1,3,1,3,3,1,2,1,1,1
211239317,211239317,2,2,3,2,2,3,2,2,3,1,2,3
211239326,211239326,2,2,2,2,1,2,2,1,3,3,2,1
211239327,211239327,1,1,2,2,1,3,2,2,3,2,2,2
211239328,211239328,1,3,3,1,3,1,1,3,3,2,2,1
211239329,211239329,3,2,3,1,1,2,1,2,1,1,1,2
211239333,211239333,1,1,2,2,2,2,3,2,2,3,2,2
211239334,211239334,1,2,2,1,3,2,1,1,2,3,3,2
211239335,211239335,1,3,2,1,2,2,3,1,2,2,3,1
211239346,211239346,2,3,1,2,3,1,3,1,2,3,2,1
211239347,211239347,3,1,3,2,1,2,3,1,2,3,1,1
211239373,211239373,1,2,3,2,1,2,2,1,1,1,1,1
211239376,211239376,3,3,3,3,3,3,3,3,3,3,3,3
211239382,211239382,2,1,1,2,1,2,2,3,3,1,2,2
211239389,211239389,3,2,1,2,1,2,2,2,2,2,2,3
211239390,211239390,2,2,2,2,3,2,3,3,2,2,2,2
211239391,211239391,2,3,2,3,2,3,2,2,1,2,2,3
211239402,211239402,3,2,1,2,2,1,2,2,1,1,3,2
211239406,211239406,2,3,1,1,1,2,1,2,3,2,3,2
211239408,211239408,1,1,1,2,1,2,2,1,2,2,2,1
211239414,211239414,1,3,2,3,2,3,1,2,3,1,2,2
211239426,211239426,1,3,1,1,1,2,2,3,1,2,1,1
211239428,211239428,3,2,3,3,3,3,2,3,3,3,2,2
211239432,211239432,1,1,1,2,1,2,1,1,3,2,1,2
211239437,211239437,2,3,1,2,2,2,1,2,2,2,1,3
211239445,211239445,2,3,2,1,3,2,3,3,3,2,3,2
211239446,211239446,1,3,2,1,2,1,3,1,2,1,3,1
211239459,211239459,1,1,2,2,2,1,2,2,2,3,2,3
211239462,211239462,1,1,2,1,2,2,3,2,2,2,2,2
211243699,211243699,1,1,1,3,3,3,2,3,3,1,2,2
211243717,211243717,3,1,2,2,2,1,3,3,2,3,2,2
