BLOCK,QES,ALT,A1,
211239262,1,1,A1L1,
211239262,1,2,A1L5,
211239262,1,3,A1L4,
211239262,2,1,A1L2,
211239262,2,2,A1L3,
211239262,2,3,A1L13,
211239262,3,1,A1L8,
211239262,3,2,A1L2,
211239262,3,3,A1L10,
211239262,4,1,A1L12,
211239262,4,2,A1L14,
211239262,4,3,A1L6,
211239262,5,1,A1L11,
211239262,5,2,A1L12,
211239262,5,3,A1L13,
211239262,6,1,A1L12,
211239262,6,2,A1L7,
211239262,6,3,A1L11,
211239262,7,1,A1L3,
211239262,7,2,A1L10,
211239262,7,3,A1L6,
211239262,8,1,A1L8,
211239262,8,2,A1L14,
211239262,8,3,A1L1,
211239262,9,1,A1L2,
211239262,9,2,A1L10,
211239262,9,3,A1L15,
211239262,10,1,A1L9,
211239262,10,2,A1L7,
211239262,10,3,A1L12,
211239262,11,1,A1L10,
211239262,11,2,A1L8,
211239262,11,3,A1L15,
211239262,12,1,A1L8,
211239262,12,2,A1L9,
211239262,12,3,A1L13,
211239266,1,1,A1L8,
211239266,1,2,A1L14,
211239266,1,3,A1L11,
211239266,2,1,A1L5,
211239266,2,2,A1L15,
211239266,2,3,A1L14,
211239266,3,1,A1L10,
211239266,3,2,A1L5,
211239266,3,3,A1L9,
211239266,4,1,A1L4,
211239266,4,2,A1L12,
211239266,4,3,A1L7,
211239266,5,1,A1L13,
211239266,5,2,A1L1,
211239266,5,3,A1L8,
211239266,6,1,A1L11,
211239266,6,2,A1L1,
211239266,6,3,A1L14,
211239266,7,1,A1L4,
211239266,7,2,A1L2,
211239266,7,3,A1L15,
211239266,8,1,A1L6,
211239266,8,2,A1L9,
211239266,8,3,A1L12,
211239266,9,1,A1L14,
211239266,9,2,A1L6,
211239266,9,3,A1L3,
211239266,10,1,A1L2,
211239266,10,2,A1L4,
211239266,10,3,A1L10,
211239266,11,1,A1L12,
211239266,11,2,A1L3,
211239266,11,3,A1L2,
211239266,12,1,A1L3,
211239266,12,2,A1L13,
211239266,12,3,A1L15,
211239267,1,1,A1L14,
211239267,1,2,A1L5,
211239267,1,3,A1L2,
211239267,2,1,A1L9,
211239267,2,2,A1L3,
211239267,2,3,A1L1,
211239267,3,1,A1L2,
211239267,3,2,A1L5,
211239267,3,3,A1L9,
211239267,4,1,A1L15,
211239267,4,2,A1L7,
211239267,4,3,A1L12,
211239267,5,1,A1L6,
211239267,5,2,A1L4,
211239267,5,3,A1L10,
211239267,6,1,A1L4,
211239267,6,2,A1L13,
211239267,6,3,A1L10,
211239267,7,1,A1L14,
211239267,7,2,A1L15,
211239267,7,3,A1L13,
211239267,8,1,A1L13,
211239267,8,2,A1L2,
211239267,8,3,A1L12,
211239267,9,1,A1L8,
211239267,9,2,A1L6,
211239267,9,3,A1L15,
211239267,10,1,A1L10,
211239267,10,2,A1L5,
211239267,10,3,A1L8,
211239267,11,1,A1L5,
211239267,11,2,A1L1,
211239267,11,3,A1L10,
211239267,12,1,A1L1,
211239267,12,2,A1L9,
211239267,12,3,A1L10,
211239268,1,1,A1L2,
211239268,1,2,A1L4,
211239268,1,3,A1L6,
211239268,2,1,A1L14,
211239268,2,2,A1L12,
211239268,2,3,A1L11,
211239268,3,1,A1L6,
211239268,3,2,A1L4,
211239268,3,3,A1L11,
211239268,4,1,A1L6,
211239268,4,2,A1L11,
211239268,4,3,A1L5,
211239268,5,1,A1L3,
211239268,5,2,A1L13,
211239268,5,3,A1L10,
211239268,6,1,A1L13,
211239268,6,2,A1L7,
211239268,6,3,A1L15,
211239268,7,1,A1L1,
