ID,BLOCK,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
211239262,211239262,2,3,1,3,3,2,3,1,2,2,2,3
211239266,211239266,2,1,3,3,2,2,2,2,3,3,3,2
211239267,211239267,1,3,2,1,3,2,3,3,1,1,1,3
211239268,211239268,3,3,1,1,3,2,2,2,3,1,2,3
211239270,211239270,3,3,2,1,2,2,2,3,2,1,3,1
211239274,211239274,1,1,3,2,3,3,2,2,2,2,2,2
211239275,211239275,2,2,1,1,3,3,3,3,2,2,2,3
211239278,211239278,1,1,1,1,2,1,1,1,1,2,2,2
211239279,211239279,3,2,3,1,3,3,2,2,2,2,3,3
211239281,211239281,3,3,3,1,1,1,2,1,1,2,2,1
211239282,211239282,1,1,1,1,1,1,1,2,3,2,2,1
211239283,211239283,2,1,2,1,1,3,2,1,1,3,2,2
211239289,211239289,1,3,2,2,2,2,3,3,2,3,3,3
211239292,211239292,2,1,2,1,2,1,2,2,1,2,3,1
211239293,211239293,1,1,1,1,1,2,2,2,3,2,1,2
211239294,211239294,1,3,2,2,3,3,3,3,3,2,2,1
211239295,211239295,3,1,2,3,3,2,2,3,2,2,1,2
211239301,211239301,2,2,2,2,2,2,2,2,2,2,2,2
211239307,211239307,3,2,3,1,3,1,2,2,3,2,2,3
211239310,211239310,1,1,3,3,3,1,3,3,3,3,1,2
211239311,211239311,2,3,2,2,3,2,2,3,3,3,3,2
211239317,211239317,1,3,1,1,3,1,3,3,1,3,3,2
211239326,211239326,1,3,1,3,2,1,1,3,1,2,1,2
211239327,211239327,2,3,1,3,2,2,1,1,2,1,3,3
211239328,211239328,3,2,2,2,2,3,3,2,2,1,3,2
211239329,211239329,2,1,2,3,2,3,2,3,2,2,2,3
211239333,211239333,2,2,3,3,3,3,1,3,1,2,3,3
211239334,211239334,2,3,3,3,1,1,3,3,3,1,2,1
211239335,211239335,3,2,1,3,1,3,2,2,1,3,2,3
211239346,211239346,3,2,2,3,1,2,1,2,3,1,1,2
211239347,211239347,1,3,2,1,2,3,2,2,3,2,2,3
211239373,211239373,2,3,1,1,2,3,3,2,3,3,3,3
211239376,211239376,2,2,2,2,2,2,2,2,2,2,2,2
211239382,211239382,1,2,2,3,2,3,1,2,2,2,1,3
211239389,211239389,2,3,2,1,2,1,1,1,1,1,1,1
211239390,211239390,3,1,3,1,2,1,1,1,1,3,3,1
211239391,211239391,3,2,3,2,3,1,3,3,3,3,3,2
211239402,211239402,2,1,2,1,3,2,1,1,3,2,1,1
211239406,211239406,1,1,2,2,3,3,3,3,1,1,1,3
211239408,211239408,2,3,2,3,2,1,3,2,3,3,3,2
211239414,211239414,2,1,1,2,1,1,2,1,1,2,1,1
211239426,211239426,2,2,2,3,3,1,3,1,2,1,2,3
211239428,211239428,2,1,2,1,1,2,3,2,1,1,3,3
211239432,211239432,2,3,2,3,2,3,2,3,1,3,2,3
211239437,211239437,3,1,2,1,3,1,2,3,1,3,2,1
211239445,211239445,3,1,3,2,2,3,2,2,2,1,2,1
211239446,211239446,2,1,3,2,3,2,2,2,3,2,2,2
211239459,211239459,2,3,1,1,1,2,1,1,1,1,1,1
211239462,211239462,2,2,3,3,3,3,2,3,3,3,1,3
211243699,211243699,2,3,2,2,1,1,1,2,2,2,1,3
211243717,211243717,1,2,1,3,1,2,1,1,1,1,1,1
